b'Thu Oct 04 23:59:59 +0000 2018',42840971,b'MadameMarmooza',b'Gormenghast Castle',b'RT @SenWarren: I believe Dr. Christine Blasey Ford. Brett Kavanaugh has disqualified himself from sitting on the Supreme Court \xe2\x80\x93 but Senate\xe2\x80\xa6'
b'Thu Oct 04 23:59:51 +0000 2018',2724675738,b'AlmaAgcaoili',b'',b'RT @SenWarren: I believe Dr. Christine Blasey Ford. Brett Kavanaugh has disqualified himself from sitting on the Supreme Court \xe2\x80\x93 but Senate\xe2\x80\xa6'
b'Thu Oct 04 23:59:50 +0000 2018',636206167,b'bobglenx',"b'Auburn, ME'",b'RT @SenWarren: I believe Dr. Christine Blasey Ford. Brett Kavanaugh has disqualified himself from sitting on the Supreme Court \xe2\x80\x93 but Senate\xe2\x80\xa6'
b'Thu Oct 04 23:59:45 +0000 2018',885722125083869184,b'clairewitz1',"b'Pennsylvania, USA'",b'RT @SenWarren: I believe Dr. Christine Blasey Ford. Brett Kavanaugh has disqualified himself from sitting on the Supreme Court \xe2\x80\x93 but Senate\xe2\x80\xa6'
b'Thu Oct 04 23:59:44 +0000 2018',58598931,b'aldo_chavez',"b'Toronto, Ontario'",b'RT @SenWarren: I believe Dr. Christine Blasey Ford. Brett Kavanaugh has disqualified himself from sitting on the Supreme Court \xe2\x80\x93 but Senate\xe2\x80\xa6'
b'Thu Oct 04 23:59:44 +0000 2018',127254873,b'C3Twitty',b'',b'RT @SenWarren: I believe Dr. Christine Blasey Ford. Brett Kavanaugh has disqualified himself from sitting on the Supreme Court \xe2\x80\x93 but Senate\xe2\x80\xa6'
b'Thu Oct 04 23:59:42 +0000 2018',1008853222273011712,b'TrumpisSatan1',b'Outside the Trump Nazi Reich',b'RT @SenWarren: I believe Dr. Christine Blasey Ford. Brett Kavanaugh has disqualified himself from sitting on the Supreme Court \xe2\x80\x93 but Senate\xe2\x80\xa6'
b'Thu Oct 04 23:59:39 +0000 2018',440465168,b'KPendletonBooks',b'My introverted writer cave',"b'RT @PeterWSJ: After Christine Blasey Ford testified at Senate hearing, WH Counsel Don McGahn cleared holding room of aides and spoke privat\xe2\x80\xa6'"
b'Thu Oct 04 23:59:39 +0000 2018',794299440676753408,b'LindaAden4',b'',b'RT @SenWarren: I believe Dr. Christine Blasey Ford. Brett Kavanaugh has disqualified himself from sitting on the Supreme Court \xe2\x80\x93 but Senate\xe2\x80\xa6'
b'Thu Oct 04 23:59:36 +0000 2018',22279514,b'CasaLucita',b'California',b'RT @SenWarren: I believe Dr. Christine Blasey Ford. Brett Kavanaugh has disqualified himself from sitting on the Supreme Court \xe2\x80\x93 but Senate\xe2\x80\xa6'
b'Thu Oct 04 23:59:33 +0000 2018',2282915874,b'marmienorris',"b'Provo, UT'",b'RT @SenWarren: I believe Dr. Christine Blasey Ford. Brett Kavanaugh has disqualified himself from sitting on the Supreme Court \xe2\x80\x93 but Senate\xe2\x80\xa6'
b'Thu Oct 04 23:59:31 +0000 2018',853801490,b'Birdonalift',b'east coast of fl.',b'https://t.co/kBEybIJdZG \xe2\x80\xa6 via @businessinsider Reject this farcical &amp; superficial FBI probe that is only meant by D\xe2\x80\xa6 https://t.co/4cSJJkCYVO'
b'Thu Oct 04 23:59:26 +0000 2018',795373325501530121,b'OrpheusDescent',b'',b'RT @SenWarren: I believe Dr. Christine Blasey Ford. Brett Kavanaugh has disqualified himself from sitting on the Supreme Court \xe2\x80\x93 but Senate\xe2\x80\xa6'
b'Thu Oct 04 23:59:26 +0000 2018',994025486,b'caspian5690',"b'Florida, USA'",b'RT @SenWarren: I believe Dr. Christine Blasey Ford. Brett Kavanaugh has disqualified himself from sitting on the Supreme Court \xe2\x80\x93 but Senate\xe2\x80\xa6'
